,frm_02,lc_02,frm_04,lc_04,frm_08,lc_08,frm_16,lc_16,frm_32,lc_32,frm_64,lc_64
0,-0.9272952180016121,1.0,-0.48995732625372823,1.0,-0.24870998909352282,1.0,-0.12483761999191469,1.0,-0.062479666860536555,1.0,-0.031247457240953663,1.0
1,-0.9241990737011059,1.0,-0.48832140863685436,1.0,-0.24787957176766798,1.0,-0.12442079989177474,1.0,-0.062271053615593194,1.0,-0.031143125163354483,1.0
2,-0.9211029294005997,1.0,-0.4866854910199805,1.0,-0.24704915444181316,1.0,-0.12400397979163479,1.0,-0.062062440370649834,1.0,-0.031038793085755308,1.0
3,-0.9180067851000934,1.0,-0.48504957340310656,1.0,-0.24621873711595832,1.0,-0.12358715969149484,1.0,-0.06185382712570647,1.0,-0.03093446100815613,1.0
4,-0.9149106407995872,1.0,-0.4834136557862327,1.0,-0.24538831979010348,1.0,-0.12317033959135489,1.0,-0.06164521388076311,1.0,-0.030830128930556953,1.0
5,-0.911814496499081,1.0,-0.4817777381693588,1.0,-0.24455790246424866,1.0,-0.12275351949121494,1.0,-0.06143660063581975,1.0,-0.030725796852957774,1.0
6,-0.9087183521985748,1.0,-0.48014182055248494,1.0,-0.24372748513839382,1.0,-0.122336699391075,1.0,-0.06122798739087639,1.0,-0.030621464775358598,1.0
7,-0.9056222078980686,1.0,-0.478505902935611,1.0,-0.24289706781253897,1.0,-0.12191987929093505,1.0,-0.06101937414593303,1.0,-0.03051713269775942,1.0
8,-0.9025260635975624,1.0,-0.47686998531873714,1.0,-0.24206665048668416,1.0,-0.1215030591907951,1.0,-0.06081076090098967,1.0,-0.030412800620160243,1.0
9,-0.8994299192970561,1.0,-0.47523406770186327,1.0,-0.24123623316082932,1.0,-0.12108623909065515,1.0,-0.06060214765604631,1.0,-0.030308468542561064,1.0
10,-0.8963337749965499,1.0,-0.4735981500849894,1.0,-0.24040581583497447,1.0,-0.1206694189905152,1.0,-0.06039353441110295,1.0,-0.030204136464961888,1.0
11,-0.8932376306960437,1.0,-0.47196223246811553,1.0,-0.23957539850911963,1.0,-0.12025259889037525,1.0,-0.06018492116615959,1.0,-0.03009980438736271,1.0
12,-0.8901414863955375,1.0,-0.4703263148512416,1.0,-0.23874498118326481,1.0,-0.1198357787902353,1.0,-0.05997630792121623,1.0,-0.029995472309763533,1.0
13,-0.8870453420950313,1.0,-0.46869039723436773,1.0,-0.23791456385740997,1.0,-0.11941895869009535,1.0,-0.05976769467627287,1.0,-0.029891140232164354,1.0
14,-0.8839491977945251,1.0,-0.46705447961749386,1.0,-0.23708414653155513,1.0,-0.1190021385899554,1.0,-0.05955908143132951,1.0,-0.029786808154565178,1.0
15,-0.8808530534940188,1.0,-0.46541856200062,1.0,-0.2362537292057003,1.0,-0.11858531848981545,1.0,-0.059350468186386146,1.0,-0.029682476076966,1.0
16,-0.8777569091935126,1.0,-0.4637826443837461,1.0,-0.23542331187984547,1.0,-0.1181684983896755,1.0,-0.059141854941442785,1.0,-0.029578143999366823,1.0
17,-0.8746607648930064,1.0,-0.4621467267668722,1.0,-0.23459289455399063,1.0,-0.11775167828953556,1.0,-0.058933241696499425,1.0,-0.029473811921767644,1.0
18,-0.8715646205925002,1.0,-0.4605108091499983,1.0,-0.2337624772281358,1.0,-0.11733485818939561,1.0,-0.05872462845155606,1.0,-0.029369479844168468,1.0
19,-0.868468476291994,1.0,-0.45887489153312444,1.0,-0.23293205990228097,1.0,-0.11691803808925566,1.0,-0.058516015206612704,1.0,-0.02926514776656929,1.0
20,-0.8653723319914878,1.0,-0.45723897391625057,1.0,-0.23210164257642613,1.0,-0.11650121798911571,1.0,-0.058307401961669336,1.0,-0.029160815688970113,1.0
21,-0.8622761876909815,1.0,-0.4556030562993767,1.0,-0.2312712252505713,1.0,-0.11608439788897576,1.0,-0.058098788716725976,1.0,-0.029056483611370934,1.0
22,-0.8591800433904753,1.0,-0.45396713868250277,1.0,-0.23044080792471647,1.0,-0.11566757778883581,1.0,-0.057890175471782615,1.0,-0.02895215153377176,1.0
23,-0.8560838990899691,1.0,-0.4523312210656289,1.0,-0.22961039059886162,1.0,-0.11525075768869586,1.0,-0.057681562226839254,1.0,-0.02884781945617258,1.0
24,-0.8529877547894629,1.0,-0.450695303448755,1.0,-0.2287799732730068,1.0,-0.11483393758855591,1.0,-0.057472948981895894,1.0,-0.028743487378573403,1.0
25,-0.8498916104889567,1.0,-0.44905938583188115,1.0,-0.22794955594715197,1.0,-0.11441711748841596,1.0,-0.05726433573695253,1.0,-0.028639155300974224,1.0
26,-0.8467954661884505,1.0,-0.4474234682150072,1.0,-0.22711913862129712,1.0,-0.11400029738827602,1.0,-0.05705572249200917,1.0,-0.02853482322337505,1.0
27,-0.8436993218879442,1.0,-0.44578755059813335,1.0,-0.2262887212954423,1.0,-0.11358347728813606,1.0,-0.05684710924706581,1.0,-0.02843049114577587,1.0
28,-0.840603177587438,1.0,-0.4441516329812595,1.0,-0.22545830396958746,1.0,-0.11316665718799612,1.0,-0.05663849600212245,1.0,-0.028326159068176694,1.0
29,-0.8375070332869318,1.0,-0.4425157153643856,1.0,-0.22462788664373262,1.0,-0.11274983708785617,1.0,-0.05642988275717909,1.0,-0.028221826990577514,1.0
30,-0.8344108889864256,1.0,-0.44087979774751174,1.0,-0.2237974693178778,1.0,-0.11233301698771622,1.0,-0.05622126951223573,1.0,-0.02811749491297834,1.0
31,-0.8313147446859194,1.0,-0.4392438801306378,1.0,-0.22296705199202296,1.0,-0.11191619688757627,1.0,-0.05601265626729237,1.0,-0.02801316283537916,1.0
32,-0.8282186003854131,1.0,-0.43760796251376394,1.0,-0.22213663466616812,1.0,-0.11149937678743632,1.0,-0.05580404302234901,1.0,-0.027908830757779984,1.0
33,-0.8251224560849069,1.0,-0.43597204489689007,1.0,-0.2213062173403133,1.0,-0.11108255668729637,1.0,-0.05559542977740565,1.0,-0.027804498680180804,1.0
34,-0.8220263117844007,1.0,-0.4343361272800162,1.0,-0.22047580001445846,1.0,-0.11066573658715642,1.0,-0.05538681653246229,1.0,-0.02770016660258163,1.0
35,-0.8189301674838945,1.0,-0.43270020966314227,1.0,-0.21964538268860362,1.0,-0.11024891648701647,1.0,-0.05517820328751893,1.0,-0.02759583452498245,1.0
36,-0.8158340231833883,1.0,-0.4310642920462684,1.0,-0.2188149653627488,1.0,-0.10983209638687652,1.0,-0.05496959004257557,1.0,-0.027491502447383274,1.0
37,-0.8127378788828821,1.0,-0.4294283744293945,1.0,-0.21798454803689396,1.0,-0.10941527628673658,1.0,-0.054760976797632206,1.0,-0.027387170369784095,1.0
38,-0.8096417345823759,1.0,-0.42779245681252065,1.0,-0.21715413071103912,1.0,-0.10899845618659662,1.0,-0.054552363552688846,1.0,-0.02728283829218492,1.0
39,-0.8065455902818696,1.0,-0.4261565391956468,1.0,-0.2163237133851843,1.0,-0.10858163608645668,1.0,-0.054343750307745485,1.0,-0.02717850621458574,1.0
40,-0.8034494459813634,1.0,-0.4245206215787729,1.0,-0.21549329605932946,1.0,-0.10816481598631673,1.0,-0.054135137062802124,1.0,-0.02707417413698656,1.0
41,-0.8003533016808572,1.0,-0.422884703961899,1.0,-0.21466287873347462,1.0,-0.10774799588617678,1.0,-0.053926523817858764,1.0,-0.026969842059387385,1.0
42,-0.797257157380351,1.0,-0.4212487863450251,1.0,-0.2138324614076198,1.0,-0.10733117578603683,1.0,-0.0537179105729154,1.0,-0.02686550998178821,1.0
43,-0.7941610130798447,1.0,-0.41961286872815123,1.0,-0.21300204408176496,1.0,-0.10691435568589688,1.0,-0.05350929732797204,1.0,-0.02676117790418903,1.0
44,-0.7910648687793385,1.0,-0.4179769511112773,1.0,-0.21217162675591011,1.0,-0.10649753558575693,1.0,-0.05330068408302868,1.0,-0.02665684582658985,1.0
45,-0.7879687244788323,1.0,-0.41634103349440343,1.0,-0.2113412094300553,1.0,-0.10608071548561698,1.0,-0.05309207083808532,1.0,-0.026552513748990675,1.0
46,-0.7848725801783261,1.0,-0.41470511587752956,1.0,-0.21051079210420046,1.0,-0.10566389538547703,1.0,-0.05288345759314196,1.0,-0.0264481816713915,1.0
47,-0.7817764358778199,1.0,-0.4130691982606557,1.0,-0.2096803747783456,1.0,-0.10524707528533708,1.0,-0.0526748443481986,1.0,-0.02634384959379232,1.0
48,-0.7786802915773137,1.0,-0.4114332806437818,1.0,-0.2088499574524908,1.0,-0.10483025518519715,1.0,-0.05246623110325524,1.0,-0.02623951751619314,1.0
49,-0.7755841472768075,1.0,-0.40979736302690795,1.0,-0.20801954012663595,1.0,-0.10441343508505718,1.0,-0.05225761785831188,1.0,-0.026135185438593965,1.0
50,-0.7724880029763013,1.0,-0.408161445410034,1.0,-0.2071891228007811,1.0,-0.10399661498491725,1.0,-0.05204900461336852,1.0,-0.02603085336099479,1.0
51,-0.769391858675795,1.0,-0.40652552779316015,1.0,-0.20635870547492627,1.0,-0.1035797948847773,1.0,-0.05184039136842515,1.0,-0.02592652128339561,1.0
52,-0.7662957143752888,1.0,-0.4048896101762863,1.0,-0.20552828814907145,1.0,-0.10316297478463735,1.0,-0.0516317781234818,1.0,-0.02582218920579643,1.0
53,-0.7631995700747826,1.0,-0.40325369255941235,1.0,-0.2046978708232166,1.0,-0.1027461546844974,1.0,-0.05142316487853843,1.0,-0.025717857128197255,1.0
54,-0.7601034257742764,1.0,-0.4016177749425385,1.0,-0.20386745349736177,1.0,-0.10232933458435745,1.0,-0.051214551633595076,1.0,-0.025613525050598076,1.0
55,-0.75700728147377,1.0,-0.3999818573256646,1.0,-0.20303703617150692,1.0,-0.1019125144842175,1.0,-0.05100593838865171,1.0,-0.0255091929729989,1.0
56,-0.7539111371732639,1.0,-0.39834593970879073,1.0,-0.2022066188456521,1.0,-0.10149569438407754,1.0,-0.050797325143708355,1.0,-0.02540486089539972,1.0
57,-0.7508149928727577,1.0,-0.39671002209191686,1.0,-0.20137620151979727,1.0,-0.1010788742839376,1.0,-0.05058871189876499,1.0,-0.025300528817800545,1.0
58,-0.7477188485722515,1.0,-0.395074104475043,1.0,-0.20054578419394242,1.0,-0.10066205418379764,1.0,-0.050380098653821634,1.0,-0.025196196740201366,1.0
59,-0.7446227042717453,1.0,-0.39343818685816906,1.0,-0.1997153668680876,1.0,-0.10024523408365771,1.0,-0.050171485408878266,1.0,-0.02509186466260219,1.0
60,-0.7415265599712391,1.0,-0.3918022692412952,1.0,-0.19888494954223276,1.0,-0.09982841398351774,1.0,-0.049962872163934906,1.0,-0.02498753258500301,1.0
61,-0.7384304156707329,1.0,-0.3901663516244213,1.0,-0.19805453221637792,1.0,-0.09941159388337781,1.0,-0.049754258918991545,1.0,-0.024883200507403835,1.0
