# frame, 2d, 3d
-1.047197551196597631e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.044201277802615957e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.041205004408634283e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.038208731014652608e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.035212457620670934e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.032216184226689260e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.029219910832707585e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.026223637438725911e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.023227364044744236e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.020231090650762562e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.017234817256780888e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.014238543862799213e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.011242270468817317e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.008245997074835643e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.005249723680854190e+00 1.000000000000000000e+00 1.000000000000000000e+00
-1.002253450286872516e+00 1.000000000000000000e+00 1.000000000000000000e+00
-9.992571768928907305e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.962609034989090562e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.932646301049272708e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.902683567109457075e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.872720833169640331e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.842758099229823587e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.812795365290005734e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.782832631350188990e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.752869897410372246e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.722907163470556613e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.692944429530738759e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.662981695590922016e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.633018961651105272e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.603056227711288528e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.573093493771472895e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.543130759831655041e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.513168025891838298e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.483205291952021554e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.453242558012203700e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.423279824072388067e-01 1.000000000000000000e+00 1.000000000000000000e+00
